,id,engName,vieName,bard,size,price,exp,uses,manuals,origin,urlInfo,publish
0,1050.0,Skin Recovery Softening Cream Cleaser,PAULA'S CHOICE  Sữa rửa mặt phục hồi và làm mềm da,PAULA'S CHOICE,237ml,660000.0,36 tháng," 
LÀM SẠCH DA
Với công thức giàu thành phần hydrat, dễ dàng rửa sạch trên da
CÂN BẰNG ĐỘ ẨM
Chứa nhiều thành phần cấp ẩm tăng cường giúp duy trì làn da mềm mượt
LOẠI BỎ THƯƠNG TỔN
Loại bỏ các dấu hiệu bị thương tổn như mẩn đỏ, khô tróc, nếp nhăn...

Sữa rửa mặt dành cho da khô Skin Recovery Softening Cream Cleanser giúp làm sạch nhẹ nhàng, loại bỏ nhanh chóng lớp make up mà vẫn đảm bảo không làm mất đi các dưỡng chất thiết yếu trên da.
Sữa rửa mặt dành cho da khô Skin Recovery  Softening Cream Cleanser chứa nhiều các thành phần cấp ẩm tăng cường giúp duy trì làn da mềm mượt, loại bỏ các dấu hiệu bị thương tổn như mẩn đỏ, khô tróc, nếp nhăn… nhẹ nhàng làm sạch, loại bỏ lớp makeup và thông thoáng lỗ chân lông.
SKIN RECOVERY Softening Cream Cleanser là một sản phẩm sữa rửa mặt dành cho da khô với công thức giàu thành phần hydrat, dễ dàng rửa sạch trên da. SKIN RECOVERY Softening Cream Cleanser không chỉ nhẹ nhàng hoạt động trên da khô đến rất khô, mà còn cải thiện một cách rõ ràng vùng da thương tổn do mất cân bằng độ ẩm gây ra.
Loại da phù hợp
SKIN RECOVERY Softening Cream Cleanser dành cho da khô đến rất khô hoặc những ai mong muốn tìm một sản phẩm sữa rửa mặt có thể áp dụng cả cho vùng da quanh mắt nhạy cảm."," 
Làm ướt mặt và thoa một lượng kem vừa đủ
lên da mặt và vùng quanh mắt, massage nhẹ
nhàng. Sau đó rửa lại với nước. Để loại bỏ lớp
make up dày, bạn nên kết hợp với dầu tẩy
trang PERFECT CLEANSING OIL.",  Mỹ,https://paulaschoice.vn/skin-recovery-softening-cream-cleanser,https://imgur.com/a/lIfDyja
1,1100.0,Hydratlight One Step Face Cleanser,PAULA'S CHOICE Sữa rửa mặt dưỡng ẩm dành cho mọi loại da Hydralight One Step Cleanser ,PAULA'S CHOICE,237ml ,660000.0,36 tháng," 
- Loại bỏ các tạp chất và lớp make up hiệu quả
- Cải thiện kích thước lỗ chân lông
- Bổ sung độ ẩm cần thiết cho da

Sữa rửa mặt Hydralight One Step Cleanser giúp loại bỏ các tạp chất và lớp make up hiệu quả, đồng thời định hình lại cấu trúc da một cách tối ưu. Đặc biệt, sản phẩm không có chất tạo mùi, tạo màu đảm bảo tính an toàn cao cho người sử dụng. Sản phẩm này sở hữu thành phần Sodium Laureth Sulfate làm sạch hiệu quả nhưng không gây khô, rát da. Bên cạnh đó, sản phẩm này còn chứa hàm lượng hoạt chất dưỡng ẩm, cải thiện lớp màng ẩm bảo vệ da tốt nhất.

Loại da phù hợp: Da dầu, hỗn hợp thiên dầu"," 

Làm ướt da mặt sau đó cho một lượng sản phẩm vừa đủ ra tay. Thoa đều lên vùng da mặt và massage nhẹ nhàng theo chuyển động tròn đều. Cuối cùng rửa mặt lại với nước sạch và thực hiện các bước chăm sóc da tiếp theo.

",  Mỹ,https://paulaschoice.vn/hydralight-one-step-cleanser,https://imgur.com/a/i92DEFG
2,1101.0,Hydratlight One Step Cleanser ,PAULA'S CHOICE Sữa rửa mặt dưỡng ẩm dành cho mọi loại da Hydralight One Step Cleanser ,PAULA'S CHOICE,473ml,850000.0,37 tháng," 
- Loại bỏ các tạp chất và lớp make up hiệu quả
- Cải thiện kích thước lỗ chân lông
- Bổ sung độ ẩm cần thiết cho da

Sữa rửa mặt Hydralight One Step Cleanser giúp loại bỏ các tạp chất và lớp make up hiệu quả, đồng thời định hình lại cấu trúc da một cách tối ưu. Đặc biệt, sản phẩm không có chất tạo mùi, tạo màu đảm bảo tính an toàn cao cho người sử dụng. Sản phẩm này sở hữu thành phần Sodium Laureth Sulfate làm sạch hiệu quả nhưng không gây khô, rát da. Bên cạnh đó, sản phẩm này còn chứa hàm lượng hoạt chất dưỡng ẩm, cải thiện lớp màng ẩm bảo vệ da tốt nhất.

Loại da phù hợp: Da dầu, hỗn hợp thiên dầu"," 

Làm ướt da mặt sau đó cho một lượng sản phẩm vừa đủ ra tay. Thoa đều lên vùng da mặt và massage nhẹ nhàng theo chuyển động tròn đều. Cuối cùng rửa mặt lại với nước sạch và thực hiện các bước chăm sóc da tiếp theo.

",  Mỹ,https://paulaschoice.vn/hydralight-one-step-cleanser,https://imgur.com/a/i92DEFG
3,1150.0,Skin Balancing Oil Reducing Cleanser,PAULA'S CHOICE Sữa rửa mặt cân bằng độ ẩm và giảm dầu,PAULA'S CHOICE,237ml,660000.0,36 tháng,"  

- Nhẹ nhàng lấy đi lớp trang điểm, làm sạch sâu trong lỗ chân lông giúp da tươi sáng và mềm mịn.
- Hoàn toàn không chứa chất tạo màu và chất tạo mùi nâng cao độ an toàn cho da 
- Tạo lớp màng ẩm trên da sau khi làm sạch, củng cố hàng rào bảo vệ da 
- Giảm tiết dầu thừa trên da hiệu quả

Công thức đặc biệt của Skin Balancing Oil-Reducing Cleanser không chỉ giúp làm sạch da một cách nhẹ nhàng mà còn hạn chế sự tiết dầu quá mức, hỗ trợ làn da đạt trạng thái lý tưởng để hấp thu dưỡng chất ở những bước chăm sóc da sau đó. Nếu đang sở hữu làn da bóng dầu thì đây chính là sự lựa chọn tốt nhất dành cho bạn ở bước làm sạch da. 

PHÙ HỢP VỚI LOẠI DA: Da thường đến da dầu "," 
Làm ướt mặt và thoa một lượng kem vừa đủ lên da, massage nhẹ nhàng sau đó làm sạch lại bằng nước. Nếu gương mặt có lớp makeup dày, hãy đảm bảo tẩy trang kỹ với GENTLE TOUCH MAKEUP REMOVER trước khi rửa mặt bằng Skin Balancing Oil-Reducing Cleanser.",  Mỹ,https://paulaschoice.vn/skin-balancing-oil-reducing-cleanser,https://imgur.com/a/6VYQ8xJ
4,1151.0,Skin Balancing Oil Reducing Cleanser -Size Chuyên nghiệp -Dùng cho Spa ,PAULA'S CHOICE Sữa rửa mặt cân bằng độ ẩm và giảm dầu,PAULA'S CHOICE,473ml,850000.0,36 tháng,"  

- Nhẹ nhàng lấy đi lớp trang điểm, làm sạch sâu trong lỗ chân lông giúp da tươi sáng và mềm mịn.
- Hoàn toàn không chứa chất tạo màu và chất tạo mùi nâng cao độ an toàn cho da 
- Tạo lớp màng ẩm trên da sau khi làm sạch, củng cố hàng rào bảo vệ da 
- Giảm tiết dầu thừa trên da hiệu quả

Công thức đặc biệt của Skin Balancing Oil-Reducing Cleanser không chỉ giúp làm sạch da một cách nhẹ nhàng mà còn hạn chế sự tiết dầu quá mức, hỗ trợ làn da đạt trạng thái lý tưởng để hấp thu dưỡng chất ở những bước chăm sóc da sau đó. Nếu đang sở hữu làn da bóng dầu thì đây chính là sự lựa chọn tốt nhất dành cho bạn ở bước làm sạch da. 

PHÙ HỢP VỚI LOẠI DA: Da thường đến da dầu "," 
Làm ướt mặt và thoa một lượng kem vừa đủ lên da, massage nhẹ nhàng sau đó làm sạch lại bằng nước. Nếu gương mặt có lớp makeup dày, hãy đảm bảo tẩy trang kỹ với GENTLE TOUCH MAKEUP REMOVER trước khi rửa mặt bằng Skin Balancing Oil-Reducing Cleanser.",  Mỹ,https://paulaschoice.vn/skin-balancing-oil-reducing-cleanser,https://imgur.com/a/6VYQ8xJ
5,1310.0,Hydralight Healthy Skin Refreshing Toner,PAULA'S CHOICE Nước hoa hồng dưỡng ẩm và tái tạo,PAULA'S CHOICE,190ml,690000.0,36 tháng,"  

- Cân bằng độ pH  trên da 
- Bổ sung độ ẩm nhanh chóng sau khi vừa mới rửa mặt xong
- Làm sạch một lần nữa những tạp chất còn sót lại sau khi rửa mặt 
- Tái tạo tế bào, giảm thiểu mẩn đỏ

Hydralight Healthy Skin Refreshing Toner chứa nhiều chất chống oxy hóa, làm dịu da nhanh chóng và đặc biệt không gây kích ứng. Được coi là loại toner có kết cấu đặc biệt, nước cân bằng da dành cho da dầu và da hỗn hợp Hydralight Healthy Skin Refreshing Toner vô cùng lý tưởng khi cung cấp các thành phần thiết yếu, không làm bít tắc lỗ chân lông đồng thời để lại thể chất thoáng mịn trên da.

PHÙ HỢP VỚI LOẠI DA: Da dầu, da hỗn hợp","  

Sau khi làm sạch mặt, bạn thoa đều sản phẩm lên toàn bộ gương mặt. Không cần phải rửa lại với nước và tiếp tục thực hiện các bước chăm sóc da sau đó. Luôn dùng kèm với kem chống nắng có chỉ số SFP từ 30 trở lên trong qui trình chăm sóc da ban ngày.",  Mỹ,https://paulaschoice.vn/hydralighthealthy-skin-refreshing-toner,https://imgur.com/a/MZBTmzo
6,1350.0,Skin Balancing Pore Reducing Toner,PAULA'S CHOICE Nước hoa hồng cân bằng và điều chỉnh lỗ chân lông SKIN BALACING Pore-Reducing Toner 190ML,PAULA'S CHOICE,190 ml,690000.0,36 tháng," 
- Duy trì PH tự nhiên
- Bổ sung độ ẩm tự nhiên 
- Điều chỉnh bài tiết bã nhờn


SKIN BALANCING Pore-Reducing Toner có nhiều điểm đặc biệt hơn so với những mỹ phẩm cùng chức năng khác. Nhờ sự xuất hiện của các chất chống oxy hóa và điều chỉnh bài tiết bã nhờn, làn da của bạn sẽ ngay lập tức xuất hiện cảm giác dịu nhẹ, dễ chịu và không bị nhờn dính.  Không đơn thuần chỉ là loại toner duy trì độ pH ở mức ổn định, SKIN BALANCING Pore-Reducing Toner còn được coi như loại dưỡng chất hoàn hảo, bổ sung độ ẩm cho làn da.

Loại da phù hợp: Da dầu, hỗn hợp thiên dầu,  da có vấn đề lỗ chân lông to"," : 
Sau bước rửa mặt, đổ một lượng nhỏ ra tay hoặc miếng bông tẩy trang và nhẹ nhàng thoa lên toàn bộ khuôn mặt,vùng cổ, không cần rửa lại. Tiếp tục dùng các bước dưỡng sau đó.
*Lưu ý: Vào ban ngày, bạn dùng kèm kem chống nắng có chỉ số SPF 30 hoặc cao hơn để bảo vệ toàn diện cho da.

",  Mỹ,https://paulaschoice.vn/skin-balancing-pore-reducing-toner,https://imgur.com/a/gxh1hTp
7,1250.0,Skin Recovery Enriched Calming Toner ,PAULA'S CHOICE Toner phục hồi độ ẩm cho da ,PAULA'S CHOICE,190ml,690000.0,36 tháng," 
Nước cân bằng da  Skin Recovery Enriched Calming Toner nhanh chóng bổ sung độ ẩm, giúp cân bằng độ pH đồng thời làm sạch da hiệu quả.
Nằm trong bộ SKIN RECOVERY, nước cân bằng da Skin Recovery Enriched Calming Toner có vai trò quan trọng giúp bổ sung độ ẩm cho làn da, cải thiện tình trạng khô ráp và dễ bị mẩn do tác hại của môi trường. Bên cạnh đó, nó chính là sản phẩm giúp cân bằng PH, làm sạch da hiệu quả.
Nước cân bằng da Skin Recovery Enriched Calming Toner bổ sung độ ẩm lớn, ngay lập tức làm dịu vùng da khô. Đặc biệt, sản phẩm còn được tăng cường thêm những thành phần chống oxy hóa, giúp da sáng mịn.

Mặt khác, tương tự như nhiều sản phẩm của Paula’s Choice, Skin Recovery Enriched Calming Toner không có chất tạo màu, tạo mùi. Vì thế, bạn có thể yên tâm sử dụng sản phẩm."," : 
Sau khi rửa mặt, bạn đổ một lượng nhỏ ra miếng
bông tẩy trang và nhẹ nhàng thoa lên toàn bộ
khuôn mặt, vùng cổ, không cần rửa lại. Tiếp theo
là các bước chăm sóc da (ngày hoặc đêm).
*Lưu ý: ban ngày bạn cần ghi nhớ thoa kem
chống nắng có chỉ số SPF 30 hoặc cao hơn.",  Mỹ,https://paulaschoice.vn/skin-recovery-enriched-calming-toner,https://imgur.com/a/uxo2luj
8,1460.0,Skin Recovery Daily Moisturizing Lotion Broad Spectrum SPF 30,PAULA'S CHOICE Kem dưỡng ẩm phục hồi da chống oxy hóa chứa SPF 30,PAULA'S CHOICE,60ml,850000.0,36 tháng," 
– Giúp cho da chống lại các tác nhân gây ra lão hóa từ môi trường.
– Có chứa phức hợp các chuỗi axit amin độc đáo giúp chống lão hóa.
– Công thức kem có chứa thành phần tái tạo da, lập tức cấp ẩm cho da khô.

Skin Recovery Daily Moisturizing Lotion SPF30 là kem dưỡng phục hồi da chống nắng phù hợp cho da nhạy cảm, da khổ cần bổ sung các tinh chất tái tạo. Đây là gợi ý cho bước chăm sóc da cuối cùng trở nên hoàn hảo nhất.  Sản phẩm sở hữu thành phần dưỡng ẩm dịu nhẹ từ khoáng chất dành cho da khô đến rất khô, bổ sung chỉ số SPF chống nắng đồng thời làm mềm và tái tạo da. 

PHÙ HỢP CHO LOẠI DA: Dành cho da khô đến rất khô"," 

Sử dụng sản phẩm sau bước cuối cùng trong quy trình chăm sóc da ban ngày. Thoa SKIN RECOVERY Daily Moisturizing Lotion SPF 30 trước 15 – 20 phút khi đi ra ngoài. Trong trường hợp bạn có kế hoạch đi bơi hay ra mồ hôi, hãy thoa nhắc lại lần nữa để bảo vệ da tốt nhất.

 
",  Mỹ,https://paulaschoice.vn/skin-recovery-daily-moisturizing-lotion-spf-30,https://imgur.com/a/DmqbKRB
9,1560.0,Skin Balancing Oil Reducing Cleanser,PAULA'S CHOICE Sữa rửa mặt cân bằng độ ẩm và giảm dầu ,PAULA'S CHOICE,60ml,850000.0,37 tháng," 
Skin Balancing Ultra – Sheer Daily Defense SPF30 là sản phẩm “2 in 1” bổ sung dưỡng chất thiết yếu cho da và tăng cường khoáng chất chống nắng, duy trì làn da đều màu, tươi trẻ, cải thiện lỗ chân lông to, thích hợp cho da dầu, hỗn hợp. Sản phẩm Skin Balancing Ultra – Sheer Daily Defense SPF30 là sản phẩm kem dưỡng ẩm chống nắng ban ngày dịu nhẹ dành cho da thường đến da dầu giúp bảo vệ da chống lại các dấu hiệu lão hóa với chỉ số chống nắng SPF 30..
– Dành cho da có tình trạng lỗ chân lông to.
– Dành cho da thường đến da dầu, da hỗn hợp.
– Giúp duy trì làn da đều màu, tươi trẻ.
– Là một lớp lót hoàn hảo.
– Công thức dạng dung dịch siêu nhẹ.
– Sử dụng như bước cuối cùng của qui trình chăm sóc da ban ngày."," 
Bạn nên sử dụng SKIN BALANCING Ultra-Sheer Daily Defense Broad Spectrum SPF 30 ở bước cuối cùng trong quy trình chăm sóc da ban ngày để đạt hiệu quả tốt nhất. Hãy thoa sản phẩm trước 15 – 30 phút trước khi ra nắng.",  Mỹ,https://paulaschoice.vn/skin-balancing-ultra-sheer-daily-defense-broad-spectrum-spf-30,https://imgur.com/a/sQ3ocSI
